date,AverageTemperature
1992-01-01,-1.217
1992-02-01,-0.197
1992-03-01,1.91
1992-04-01,8.044
1992-05-01,14.425999999999998
1992-06-01,18.976
1992-07-01,21.506
1992-08-01,20.162
1992-09-01,17.284000000000002
1992-10-01,9.204
1992-11-01,4.965
1992-12-01,-0.1909999999999999
1993-01-01,-0.4029999999999999
1993-02-01,-4.198
1993-03-01,1.14
1993-04-01,9.457
1993-05-01,16.266000000000002
1993-06-01,20.203
1993-07-01,23.93
1993-08-01,22.511
1993-09-01,17.220999999999997
1993-10-01,9.944
1993-11-01,5.1690000000000005
1993-12-01,-0.7490000000000001
1994-01-01,-7.184
1994-02-01,-4.287
1994-03-01,2.148
1994-04-01,10.698
1994-05-01,14.451
1994-06-01,21.641
1994-07-01,24.182
1994-08-01,20.735
1994-09-01,17.078999999999994
1994-10-01,10.669
1994-11-01,7.8130000000000015
1994-12-01,1.999
1995-01-01,0.214
1995-02-01,-3.47
1995-03-01,5.229
1995-04-01,8.455
1995-05-01,14.357
1995-06-01,20.644
1995-07-01,23.823
1995-08-01,22.905
1995-09-01,17.142
1995-10-01,13.247
1995-11-01,3.326
1995-12-01,-3.035
1996-01-01,-3.877
1996-02-01,-1.794
1996-03-01,1.3869999999999998
1996-04-01,9.26
1996-05-01,14.233
1996-06-01,20.603
1996-07-01,21.471
1996-08-01,21.859
1996-09-01,17.994
1996-10-01,11.114
1996-11-01,3.399
1996-12-01,2.036
1997-01-01,-3.037
1997-02-01,1.681
1997-03-01,3.414
1997-04-01,8.371
1997-05-01,13.380999999999998
1997-06-01,19.944000000000003
1997-07-01,22.547
1997-08-01,21.017
1997-09-01,17.057000000000002
1997-10-01,10.994000000000002
1997-11-01,4.103
1997-12-01,0.5730000000000001
1998-01-01,1.711
1998-02-01,2.483
1998-03-01,5.1690000000000005
1998-04-01,10.401
1998-05-01,17.256
1998-06-01,19.49
1998-07-01,22.706
1998-08-01,22.85
1998-09-01,18.947
1998-10-01,11.855
1998-11-01,5.983
1998-12-01,3.036
1999-01-01,-1.952
1999-02-01,0.4289999999999998
1999-03-01,3.306
1999-04-01,9.661
1999-05-01,15.611
1999-06-01,21.254
1999-07-01,25.065
1999-08-01,22.206
1999-09-01,18.818
1999-10-01,10.438
1999-11-01,7.818
1999-12-01,1.2970000000000002
2000-01-01,-3.168
2000-02-01,-0.1620000000000001
2000-03-01,6.391
2000-04-01,8.897
2000-05-01,15.944
2000-06-01,20.234
2000-07-01,20.727
2000-08-01,20.791
2000-09-01,17.095
2000-10-01,11.323
2000-11-01,4.913
2000-12-01,-3.3560000000000003
2001-01-01,-2.814
2001-02-01,-0.4420000000000001
2001-03-01,1.884
2001-04-01,9.92
2001-05-01,16.014
2001-06-01,20.907
2001-07-01,21.045
2001-08-01,23.507
2001-09-01,17.473999999999997
2001-10-01,11.989999999999998
2001-11-01,8.212
2001-12-01,3.4750000000000005
2002-01-01,1.2520000000000002
2002-02-01,2.1260000000000003
2002-03-01,4.677
2002-04-01,11.125
2002-05-01,14.171
2002-06-01,20.623
2002-07-01,23.931
2002-08-01,23.558000000000003
2002-09-01,19.125
2002-10-01,10.446
2002-11-01,4.945
2002-12-01,-0.953
2003-01-01,-5.223
2003-02-01,-3.786
2003-03-01,3.526
2003-04-01,8.185
2003-05-01,13.817
2003-06-01,18.96
2003-07-01,22.864
2003-08-01,23.243
2003-09-01,18.262
2003-10-01,10.201999999999998
2003-11-01,7.603
2003-12-01,0.3790000000000001
2004-01-01,-6.324999999999998
2004-02-01,-1.332
2004-03-01,4.525
2004-04-01,10.057
2004-05-01,17.8
2004-06-01,19.761
2004-07-01,21.946
2004-08-01,21.771
2004-09-01,18.843
2004-10-01,10.96
2004-11-01,6.682
2004-12-01,-0.014
2005-01-01,-3.611
2005-02-01,-0.609
2005-03-01,1.125
2005-04-01,10.633
2005-05-01,13.267
2005-06-01,22.169
2005-07-01,23.704
2005-08-01,23.941
2005-09-01,20.238
2005-10-01,12.058
2005-11-01,7.019
2005-12-01,-1.757
2006-01-01,1.608
2006-02-01,-0.5650000000000002
2006-03-01,3.776
2006-04-01,10.709
2006-05-01,15.637
2006-06-01,20.445
2006-07-01,24.165
2006-08-01,22.42
2006-09-01,16.945999999999998
2006-10-01,10.811
2006-11-01,8.418
2006-12-01,3.861
2007-01-01,0.4119999999999999
2007-02-01,-4.713
2007-03-01,2.947
2007-04-01,8.02
2007-05-01,16.677
2007-06-01,20.868
2007-07-01,22.295
2007-08-01,22.063
2007-09-01,19.0
2007-10-01,15.222
2007-11-01,4.831
2007-12-01,-0.0939999999999999
2008-01-01,-0.573
2008-02-01,-0.675
2008-03-01,3.47
2008-04-01,10.943
2008-05-01,13.64
2008-06-01,21.831
2008-07-01,23.693
2008-08-01,20.887
2008-09-01,18.676
2008-10-01,10.348
2008-11-01,5.132999999999999
2008-12-01,0.3270000000000001
2009-01-01,-5.359999999999999
2009-02-01,-0.3720000000000001
2009-03-01,3.579
2009-04-01,10.478
2009-05-01,15.447
2009-06-01,19.058
2009-07-01,21.103
2009-08-01,22.769
2009-09-01,17.043
2009-10-01,10.364
2009-11-01,8.217
2009-12-01,-0.624
2010-01-01,-2.359
2010-02-01,-1.456
2010-03-01,6.715
2010-04-01,12.076
2010-05-01,17.119
2010-06-01,21.943
2010-07-01,24.789
2010-08-01,22.67
2010-09-01,19.172
2010-10-01,11.911
2010-11-01,5.876
2010-12-01,-2.165
2011-01-01,-4.463
2011-02-01,-1.2440000000000002
2011-03-01,3.474
2011-04-01,10.555
2011-05-01,16.917
2011-06-01,21.032
2011-07-01,24.564
2011-08-01,22.13
2011-09-01,19.301
2011-10-01,12.001
2011-11-01,8.013
2011-12-01,2.987
2012-01-01,-0.0409999999999999
2012-02-01,2.185
2012-03-01,8.734
2012-04-01,10.324000000000002
2012-05-01,17.779
2012-06-01,20.165
2012-07-01,24.479
2012-08-01,22.731
2012-09-01,18.177
2012-10-01,12.436
2012-11-01,4.103
2012-12-01,2.5860000000000003
2013-01-01,-0.968
2013-02-01,-1.3650000000000002
2013-03-01,2.518
2013-04-01,9.723
2013-05-01,15.544
2013-06-01,20.892
2013-07-01,24.722
2013-08-01,21.001
2013-09-01,17.407999999999998
2013-10-01,11.191698
2013-11-01,5.922302
2013-12-01,0.046721
